18.6000000000	 -0.0310770244	 -0.0623712695 0.0001086104 
18.8000000000	 -0.0310770356	 -0.0623711651 0.0001085470 
19.0000000000	 -0.0310771083	 -0.0623712305 0.0001085070 
19.2000000000	 -0.0310771831	 -0.0623713792 0.0001085065 
19.4000000000	 -0.0310772162	 -0.0623715010 0.0001085343 
19.6000000000	 -0.0310772004	 -0.0623715331 0.0001085662 
19.8000000000	 -0.0310771588	 -0.0623714827 0.0001085825 
20.0000000000	 -0.0310771227	 -0.0623714025 0.0001085786 
20.2000000000	 -0.0310771113	 -0.0623713477 0.0001085625 
20.4000000000	 -0.0310771242	 -0.0623713427 0.0001085471 
20.6000000000	 -0.0310771470	 -0.0623713761 0.0001085410 
20.8000000000	 -0.0310771638	 -0.0623714175 0.0001085450 
21.0000000000	 -0.0310771665	 -0.0623714407 0.0001085539 
21.2000000000	 -0.0310771577	 -0.0623714374 0.0001085610 
21.4000000000	 -0.0310771456	 -0.0623714172 0.0001085629 
21.6000000000	 -0.0310771383	 -0.0623713965 0.0001085600 
21.8000000000	 -0.0310771385	 -0.0623713876 0.0001085553 
22.0000000000	 -0.0310771440	 -0.0623713922 0.0001085521 
22.2000000000	 -0.0310771501	 -0.0623714038 0.0001085518 
22.4000000000	 -0.0310771531	 -0.0623714136 0.0001085537 
22.6000000000	 -0.0310771522	 -0.0623714165 0.0001085560 
22.8000000000	 -0.0310771490	 -0.0623714128 0.0001085574 
23.0000000000	 -0.0310771460	 -0.0623714065 0.0001085573 
23.2000000000	 -0.0310771449	 -0.0623714020 0.0001085561 
23.4000000000	 -0.0310771457	 -0.0623714014 0.0001085550 
23.6000000000	 -0.0310771475	 -0.0623714039 0.0001085544 
23.8000000000	 -0.0310771490	 -0.0623714072 0.0001085546 
24.0000000000	 -0.0310771493	 -0.0623714091 0.0001085553 
24.2000000000	 -0.0310771487	 -0.0623714090 0.0001085558 
24.4000000000	 -0.0310771477	 -0.0623714074 0.0001085560 
24.6000000000	 -0.0310771471	 -0.0623714058 0.0001085558 
24.8000000000	 -0.0310771470	 -0.0623714050 0.0001085555 
25.0000000000	 -0.0310771474	 -0.0623714053 0.0001085552 
