#time 	S+S- 	 norm 
# 2019_08_20_13_04_24 
295.0000000000 	 0.3627986990 	          1 
295.5000000000 	 0.3627971103 	          1 
296.0000000000 	 0.3627990300 	          1 
296.5000000000 	 0.3627977964 	          1 
297.0000000000 	 0.3627943798 	          1 
297.5000000000 	 0.3627907356 	          1 
298.0000000000 	 0.3627878732 	          1 
298.5000000000 	 0.3627866857 	          1 
299.0000000000 	 0.3627874954 	          1 
299.5000000000 	 0.3627908704 	          1 
300.0000000000 	 0.3627950984 	          1 
300.5000000000 	 0.3627998814 	          1 
301.0000000000 	 0.3628039896 	          1 
301.5000000000 	 0.3628065853 	          1 
302.0000000000 	 0.3628039081 	          1 
302.5000000000 	 0.3628000951 	          1 
303.0000000000 	 0.3627974143 	          1 
303.5000000000 	 0.3627965699 	          1 
304.0000000000 	 0.3627994381 	          1 
304.5000000000 	 0.3628126287 	          1 
305.0000000000 	 0.3628202688 	          1 
305.5000000000 	 0.3628203516 	          1 
306.0000000000 	 0.3628193091 	          1 
306.5000000000 	 0.3628157112 	          1 
307.0000000000 	 0.3628151529 	          1 
307.5000000000 	 0.3628159565 	          1 
308.0000000000 	 0.3628207893 	          1 
308.5000000000 	 0.3628222489 	          1 
309.0000000000 	 0.3628218175 	          1 
309.5000000000 	 0.3628200417 	          1 
310.0000000000 	 0.3628185157 	          1 
310.5000000000 	 0.3628181471 	          1 
311.0000000000 	 0.3628193514 	          1 
311.5000000000 	 0.3628184821 	          1 
312.0000000000 	 0.3628212923 	          1 
312.5000000000 	 0.3628257667 	          1 
313.0000000000 	 0.3628336773 	          1 
313.5000000000 	 0.3628348897 	          1 
314.0000000000 	 0.3628307007 	          1 
314.5000000000 	 0.3628274789 	          1 
315.0000000000 	 0.3628314798 	          1 
315.5000000000 	 0.3628391285 	          1 
316.0000000000 	 0.3628439166 	          1 
316.5000000000 	 0.3628474088 	          1 
317.0000000000 	 0.3628444392 	          1 
317.5000000000 	 0.3628363564 	          1 
318.0000000000 	 0.3628350931 	          1 
318.5000000000 	 0.3628381353 	          1 
319.0000000000 	 0.3628421190 	          1 
319.5000000000 	 0.3628461985 	          1 
320.0000000000 	 0.3628467261 	          1 
320.5000000000 	 0.3628436022 	          1 
321.0000000000 	 0.3628404741 	          1 
321.5000000000 	 0.3628333137 	          1 
322.0000000000 	 0.3628248348 	          1 
322.5000000000 	 0.3628171107 	          1 
323.0000000000 	 0.3628102546 	          1 
323.5000000000 	 0.3628077724 	          1 
324.0000000000 	 0.3628108080 	          1 
324.5000000000 	 0.3628134371 	          1 
325.0000000000 	 0.3628191673 	          1 
# end of calculation 2019_08_20_13_08_02 
# time difference 00_00_00_00_04_-22 
