##input
##{
##time_step=0.5;
##time_end = 10000;
##Gamma_l =0.5;  //also Gamma_l is square root of the decay
##Gamma_m =0.50;
##Gamma_r =0.5;
##Nbin =2;
##svdcutoff = 1E-8;
##maxnumberofSV = 5000;
##left_fb = 2; //ATTENTION left-middle  .... avoid feedback 2, avoid feedback times uneven
##right_fb = 2; //ATTENTION middle-right ... left_fb >= right_fb, works for right_fb=1
##init_000 = 0.; 
##init_001 = 0.57735027; 
##init_010 = 0.57735027; 
##init_011 = 0.*0.57735027; 
##init_100 = 0.57735027; 
##init_101 = 0.*0.57735027; 
##init_110 = 0.*0.57735027;//70710678118; 
##init_111 = 0.0;//70710678118; 
##phi = 4.0 ; // 4 --> 4pi --> all phases zero!!!
##INDIVIDUAL_PHASE_CHOICE = 0; // if this is zero, the phase is set with phi=phi_l=phi_r, and phi_l=phi*l_fb/(l_fb+r_fb)
##phi_l  = 0.0;  // as multiple of pi phi_l=phi_r, and 
##phi_ml = 0.0; // phi_m chooses phi_ml, and fixes phi_mr/0.5=1.-phi_ml/0.5
##phi_mr = 0.0; // phi_m chooses phi_ml, and fixes phi_mr/0.5=1.-phi_ml/0.5
##phi_r  = 0.0;  // ATTENTION !! has no influence is equal to phi_r
##par_max = 60;
##}
##// =ATTENTION feedback counts between left and right, middle is half the feedback, effective first feedback effect after fb/2
##// =ATTENTION exclude feedback time of 2, i.e. no distance between left - middle - right bin
##// =ATTENTION exclude uneven feedback times of 2n+1, i.e. asymmetric swap necessary between left - middle - right bin
##// =ATTENTION exclude complex valued initial states, not yet implemented
##
##// 1./sqrt(2.) = 0.70710678118
##// 1./sqrt(3.) = 0.57735027
##// 2pi=6.283185307179586476925286766559  
##// 4pi=12,566370614359172953850573533118‬
## 0.00 	 0.00 	 0.00 	 0.00 
## 0 	 0.0000000000 	 0.0000000000 	 0.0000000000 
11 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.40 	 0.20 	 0.20 	 0.40 
## 12 	 0.0000000000 	 0.0000000000 	 0.0000000000 
12 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.43 	 0.22 	 0.22 	 0.43 
## 13 	 0.0000000000 	 0.0000000000 	 0.0000000000 
13 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.47 	 0.23 	 0.23 	 0.47 
## 14 	 0.0000000000 	 0.0000000000 	 0.0000000000 
14 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.50 	 0.25 	 0.25 	 0.50 
## 15 	 0.0000000000 	 0.0000000000 	 0.0000000000 
15 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.53 	 0.27 	 0.27 	 0.53 
## 16 	 0.0000000000 	 0.0000000000 	 0.0000000000 
16 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.57 	 0.28 	 0.28 	 0.57 
## 17 	 0.0000000000 	 0.0000000000 	 0.0000000000 
17 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.60 	 0.30 	 0.30 	 0.60 
## 18 	 0.0000000000 	 0.0000000000 	 0.0000000000 
18 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.63 	 0.32 	 0.32 	 0.63 
## 19 	 0.0000000000 	 0.0000000000 	 0.0000000000 
19 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.67 	 0.33 	 0.33 	 0.67 
## 20 	 0.0000000000 	 0.0000000000 	 0.0000000000 
20 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.70 	 0.35 	 0.35 	 0.70 
## 21 	 0.0000000000 	 0.0000000000 	 0.0000000000 
21 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.73 	 0.37 	 0.37 	 0.73 
## 22 	 0.0000000000 	 0.0000000000 	 0.0000000000 
22 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.77 	 0.38 	 0.38 	 0.77 
## 23 	 0.0000000000 	 0.0000000000 	 0.0000000000 
23 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.80 	 0.40 	 0.40 	 0.80 
## 24 	 0.0000000000 	 0.0000000000 	 0.0000000000 
24 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.83 	 0.42 	 0.42 	 0.83 
## 25 	 0.0000000000 	 0.0000000000 	 0.0000000000 
25 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.87 	 0.43 	 0.43 	 0.87 
## 26 	 0.0000000000 	 0.0000000000 	 0.0000000000 
26 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.90 	 0.45 	 0.45 	 0.90 
## 27 	 0.0000000000 	 0.0000000000 	 0.0000000000 
27 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.93 	 0.47 	 0.47 	 0.93 
## 28 	 0.0000000000 	 0.0000000000 	 0.0000000000 
28 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.97 	 0.48 	 0.48 	 0.97 
## 29 	 0.0000000000 	 0.0000000000 	 0.0000000000 
29 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 1.00 	 0.50 	 0.50 	 1.00 
## 30 	 0.0000000000 	 0.0000000000 	 0.0000000000 
30 	 0.0000000000 	 0.0000000000 	 0.0000000000 
